Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,7251.82773594856,7476.77245727289,7337.35093485928,6491.49912763085,7569.08943696131
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,3739.15308820695,3491.19257785723,3438.71589914992,3093.87847282169,3573.16517336392
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,3740.51998552308,3490.36720402876,3436.13153002932,3092.20555999448,3572.06552524474
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,5116.24078342878,5384.00215669902,5448.65078025162,5206.16829542532,6074.0849211156
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,58423.8858786865,61174.7773442449,63198.7013177896,61451.9761542648,68369.6627865258
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,37403.3878726541,39348.3143589819,39531.6603463651,38326.8576017416,42446.8593225577
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,12894.0758276533,14062.5039847728,13540.4002873269,11683.1860582817,13878.8148434096
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,4128.47492262869,4283.74156632459,4233.4136752437,3707.31058055127,3643.84543691992
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,42968.4478075775,45382.3069254991,45700.938132739,44474.5497503182,49223.5950344334
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1436.42070384297,1455.85975716881,1463.30658635794,1337.46415333973,1418.59332595843
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,11854.0160327081,12808.1908837461,12427.5767384523,10702.9616881658,12588.9277948417
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1887.92183047546,1920.20839576082,1962.80287524759,1852.30008753936,2149.8215950035
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1887.92183047546,1920.20839576082,1962.80287524759,1852.30008753936,2149.8215950035
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1609.900105108,1631.593697431,1607.92160468242,1493.10069058974,1633.18075389896
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1608.56484686331,1630.23897071478,1606.5581948548,1492.13401817781,1632.08753131287
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1609.900105108,1631.593697431,1607.92160468242,1493.10069058974,1633.18075389896
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,8820.94949272126,9435.78082781379,9534.00511269487,9157.82001579761,10828.0506944074
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,10742.6504572914,11285.4976396404,11320.915884525,10883.0760474916,12236.6157434985
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 03/30/2023,,,,,,,,
