Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18896352021.94,18418848299.5825,18904490262.913,20143442150.971,14786861638.4535
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,13019689336.6919,15156432309.8977,15401830754.0773,15131866270.5936,18255787479.1846
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,170097014589.134,174910878623.049,171767403748.19,145009181490.62,163044443983.759
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,612000000,639000000,647000000,716000000,709000000
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3000180750.11297,3218316013.22626,3155065487.51819,2891022272.98687,3330281523.53915
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,68972769395.6274,77792944471.9494,69309110145.7687,53619073505.1377,67404287260.3199
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148,1471125925.92593
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,643628665302.155,524819742918.669,447754609218.678,385540224628.292,487227339102.67
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,11527458565.7334,12457941907.0333,13619291361.2814,12641697523.2966,13861409968.835
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,3092178770.94972,3202234636.87151,3368970253.05286,2610038937.56355,3126019399.06492
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1326516328531.56,1428288504767.07,1392227864397.08,1326901059123.21,1552667363236.06
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,417261151844.977,454991174096.102,444621176100.548,435225238000.437,480368403893.364
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,40865558912.3867,47112941176.4706,48174235294.1176,42693000000,54622176470.5882
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,12357600000,12755800000,13192800000,9699500000,11208600000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,35473776595.7447,37802005319.1489,38653318085.1064,34723357446.8085,38868663031.9149
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,293754646182.389,321379023557.462,351238474244.667,373902134700.41,416264942893.326
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4981588900,5097283200,5324250000,4671800000,4843800000
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,54726595249.1849,60031262269.3365,64409647193.8044,61371126414.1663,68205380706.6609
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,502764720556.354,543299066998.902,535830876745.097,525211810652.608,594104177539.525
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2286000000,2315000000,2416500000,2080000000,2491500000
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,12701655845.9612,14262408079.7014,14391686309.033,15651545208.8783,17144918952.4682
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,7142316000,7225977000,7423465000,6887147000,7286607000
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2450364928.07302,2446866404.93058,2535657069.05537,2325184481.4277,2539552984.67797
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,37508642165.3366,40287647930.4761,40895322843.7851,36629843805.0216,40408208528.1599
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,18080118186.009,20183510863.0054,20202479537.5193,19950471170.6465,23365361635.2201
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,16105182316.3307,17031901441.1765,16695928792.5697,14930072458.5814,17614791265.6824
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2063507864886.88,1916947014067.55,1873274432754.47,1448559976218.19,1608981456325.08
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,12128104859.1498,13567351175.0315,13469422958.5105,12005825759.223,14006569575.68
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,59199447421.4924,66363537115.2686,68915875214.6537,70240275010.1964,84056312734.3089
